motorId,time,thrust
654b01231b5ae70002c2beae,0.032,0.289468
654b01231b5ae70002c2beae,0.044,1.108885
654b01231b5ae70002c2beae,0.048,1.794702
654b01231b5ae70002c2beae,0.054,5.29949
654b01231b5ae70002c2beae,0.058,10.03786
654b01231b5ae70002c2beae,0.06,13.77868
654b01231b5ae70002c2beae,0.064,17.61302
654b01231b5ae70002c2beae,0.07,20.6057
654b01231b5ae70002c2beae,0.072,20.9575
654b01231b5ae70002c2beae,0.078,23.6518
654b01231b5ae70002c2beae,0.08,23.5761
654b01231b5ae70002c2beae,0.082,24.8096
654b01231b5ae70002c2beae,0.092,25.4019
654b01231b5ae70002c2beae,0.096,26.3906
654b01231b5ae70002c2beae,0.132,26.3193
654b01231b5ae70002c2beae,0.154,26.778
654b01231b5ae70002c2beae,0.156,27.5128
654b01231b5ae70002c2beae,0.158,26.6177
654b01231b5ae70002c2beae,0.188,26.9339
654b01231b5ae70002c2beae,0.21,26.1234
654b01231b5ae70002c2beae,0.216,26.5999
654b01231b5ae70002c2beae,0.246,25.9541
654b01231b5ae70002c2beae,0.4,25.9764
654b01231b5ae70002c2beae,0.654,24.5825
654b01231b5ae70002c2beae,0.802,24.4801
654b01231b5ae70002c2beae,1.338,19.35428
654b01231b5ae70002c2beae,1.776,11.9528
654b01231b5ae70002c2beae,1.854,11.0844
654b01231b5ae70002c2beae,2.05,4.96994
654b01231b5ae70002c2beae,2.246,1.362726
654b01231b5ae70002c2beae,2.374,0.0
63628c12a244550004a0cf01,0.025,2.452
63628c12a244550004a0cf01,0.055,13.64
63628c12a244550004a0cf01,0.09,24.061
63628c12a244550004a0cf01,0.122,27.433
63628c12a244550004a0cf01,0.23,31.571
63628c12a244550004a0cf01,0.297,33.41
63628c12a244550004a0cf01,0.322,32.797
63628c12a244550004a0cf01,0.345,34.176
63628c12a244550004a0cf01,0.414,34.636
63628c12a244550004a0cf01,0.492,33.103
63628c12a244550004a0cf01,0.612,30.651
63628c12a244550004a0cf01,0.767,27.893
63628c12a244550004a0cf01,0.959,23.602
63628c12a244550004a0cf01,1.288,15.326
63628c12a244550004a0cf01,1.451,13.027
63628c12a244550004a0cf01,1.483,13.333
63628c12a244550004a0cf01,1.605,5.211
63628c12a244550004a0cf01,1.635,2.605
63628c12a244550004a0cf01,1.693,0.0
629ee7b1e0d0450004036826,0.001,0.626
629ee7b1e0d0450004036826,0.028,3.962
629ee7b1e0d0450004036826,0.04,13.136
629ee7b1e0d0450004036826,0.051,29.608
629ee7b1e0d0450004036826,0.178,34.821
629ee7b1e0d0450004036826,0.321,36.489
629ee7b1e0d0450004036826,0.516,37.74
629ee7b1e0d0450004036826,0.712,40.242
629ee7b1e0d0450004036826,0.854,41.911
629ee7b1e0d0450004036826,0.947,43.579
629ee7b1e0d0450004036826,0.979,46.498
629ee7b1e0d0450004036826,0.999,41.911
629ee7b1e0d0450004036826,1.018,33.779
629ee7b1e0d0450004036826,1.04,26.481
629ee7b1e0d0450004036826,1.069,19.6
629ee7b1e0d0450004036826,1.104,9.383
629ee7b1e0d0450004036826,1.122,3.128
629ee7b1e0d0450004036826,1.141,0.0
629ee8bae0d045000403682e,0.018,0.679
629ee8bae0d045000403682e,0.031,8.821
629ee8bae0d045000403682e,0.048,25.558
629ee8bae0d045000403682e,0.07,30.308
629ee8bae0d045000403682e,0.099,33.249
629ee8bae0d045000403682e,0.145,34.832
629ee8bae0d045000403682e,0.231,36.641
629ee8bae0d045000403682e,0.409,41.843
629ee8bae0d045000403682e,0.647,45.236
629ee8bae0d045000403682e,0.884,47.498
629ee8bae0d045000403682e,0.947,47.724
629ee8bae0d045000403682e,0.995,51.569
629ee8bae0d045000403682e,1.032,51.343
629ee8bae0d045000403682e,1.049,49.081
629ee8bae0d045000403682e,1.059,44.558
629ee8bae0d045000403682e,1.077,35.963
629ee8bae0d045000403682e,1.1,26.689
629ee8bae0d045000403682e,1.167,9.273
629ee8bae0d045000403682e,1.2,0.0
5f4294d20002310000000034,0.006,49.3
5f4294d20002310000000034,0.03,45.701
5f4294d20002310000000034,0.038,47.181
5f4294d20002310000000034,0.05,45.18
5f4294d20002310000000034,0.062,43.701
5f4294d20002310000000034,0.112,43.402
5f4294d20002310000000034,0.138,42.817
5f4294d20002310000000034,0.206,42.073
5f4294d20002310000000034,0.238,43.368
5f4294d20002310000000034,0.282,41.575
5f4294d20002310000000034,0.324,41.086
5f4294d20002310000000034,0.342,41.733
5f4294d20002310000000034,0.362,40.168
5f4294d20002310000000034,0.436,38.158
5f4294d20002310000000034,0.524,36.398
5f4294d20002310000000034,0.65,32.972
5f4294d20002310000000034,0.712,31.05
5f4294d20002310000000034,0.836,25.077
5f4294d20002310000000034,0.874,22.475
5f4294d20002310000000034,0.888,21.508
5f4294d20002310000000034,0.9,20.008
5f4294d20002310000000034,0.912,17.176
5f4294d20002310000000034,0.924,13.3
5f4294d20002310000000034,0.942,6.65
5f4294d20002310000000034,0.962,2.755
5f4294d20002310000000034,0.974,1.637
5f4294d20002310000000034,0.988,0.781
5f4294d20002310000000034,1.0,0.429
5f4294d20002310000000034,1.01,0.141
5f4294d20002310000000034,1.02,0.0
60ac76068dc4640004c24d93,0.01,0.157
60ac76068dc4640004c24d93,0.029,0.677
60ac76068dc4640004c24d93,0.045,2.643
60ac76068dc4640004c24d93,0.058,0.966
60ac76068dc4640004c24d93,0.09,2.048
60ac76068dc4640004c24d93,0.127,6.545
60ac76068dc4640004c24d93,0.174,9.296
60ac76068dc4640004c24d93,0.214,9.045
60ac76068dc4640004c24d93,0.269,9.01
60ac76068dc4640004c24d93,0.324,8.039
60ac76068dc4640004c24d93,0.47,6.334
60ac76068dc4640004c24d93,0.615,4.492
60ac76068dc4640004c24d93,0.795,2.904
60ac76068dc4640004c24d93,0.975,1.412
60ac76068dc4640004c24d93,1.148,0.536
60ac76068dc4640004c24d93,1.211,0.0
60159d7db94d0e00040a8404,0.006,0.02
60159d7db94d0e00040a8404,0.025,2.03729699874691
60159d7db94d0e00040a8404,0.064,16.9322083548134
60159d7db94d0e00040a8404,0.167,22.1471611699886
60159d7db94d0e00040a8404,0.419,26.9550277597882
60159d7db94d0e00040a8404,0.673,25.8612429946667
60159d7db94d0e00040a8404,0.929,25.6314480708044
60159d7db94d0e00040a8404,1.086,26.2172908150613
60159d7db94d0e00040a8404,1.144,16.7646851690859
60159d7db94d0e00040a8404,1.172,6.11621794802681
60159d7db94d0e00040a8404,1.198,0.568172384553778
60159d7db94d0e00040a8404,1.223,0.0
60159ce4b94d0e00040a8402,0.002,0.02
60159ce4b94d0e00040a8402,0.023,1.38976623690815
60159ce4b94d0e00040a8402,0.059,21.5976914371779
60159ce4b94d0e00040a8402,0.102,25.0086089349799
60159ce4b94d0e00040a8402,0.174,27.6909606634316
60159ce4b94d0e00040a8402,0.318,24.697006041411
60159ce4b94d0e00040a8402,0.462,22.4683290239025
60159ce4b94d0e00040a8402,0.642,21.8137838652851
60159ce4b94d0e00040a8402,0.861,16.2258246953648
60159ce4b94d0e00040a8402,0.897,6.84042911272716
60159ce4b94d0e00040a8402,0.936,1.08681897927173
60159ce4b94d0e00040a8402,0.974,0.179469557385308
60159ce4b94d0e00040a8402,1.01,0.0
5f7695bd9503a10004898855,0.256,1.578
5f7695bd9503a10004898855,0.31,2.042
5f7695bd9503a10004898855,0.361,2.568
5f7695bd9503a10004898855,0.395,3.063
5f7695bd9503a10004898855,0.433,3.62
5f7695bd9503a10004898855,0.453,4.115
5f7695bd9503a10004898855,0.484,4.765
5f7695bd9503a10004898855,0.501,4.92
5f7695bd9503a10004898855,0.515,5.105
5f7695bd9503a10004898855,0.532,5.012
5f7695bd9503a10004898855,0.545,4.796
5f7695bd9503a10004898855,0.566,4.455
5f7695bd9503a10004898855,0.583,3.929
5f7695bd9503a10004898855,0.596,3.434
5f7695bd9503a10004898855,0.627,2.97
5f7695bd9503a10004898855,0.661,2.63
5f7695bd9503a10004898855,0.719,2.166
5f7695bd9503a10004898855,0.801,1.949
5f7695bd9503a10004898855,2.256,1.949
5f7695bd9503a10004898855,2.314,1.825
5f7695bd9503a10004898855,2.361,1.423
5f7695bd9503a10004898855,2.505,0.0
5f8b0753d5fa3b000447e835,0.073,0.229
5f8b0753d5fa3b000447e835,0.178,0.686
5f8b0753d5fa3b000447e835,0.251,1.287
5f8b0753d5fa3b000447e835,0.313,2.203
5f8b0753d5fa3b000447e835,0.375,3.633
5f8b0753d5fa3b000447e835,0.425,5.006
5f8b0753d5fa3b000447e835,0.473,6.465
5f8b0753d5fa3b000447e835,0.556,8.181
5f8b0753d5fa3b000447e835,0.603,9.01
5f8b0753d5fa3b000447e835,0.655,6.922
5f8b0753d5fa3b000447e835,0.698,5.463
5f8b0753d5fa3b000447e835,0.782,4.291
5f8b0753d5fa3b000447e835,0.873,3.576
5f8b0753d5fa3b000447e835,1.024,3.146
5f8b0753d5fa3b000447e835,1.176,2.946
5f8b0753d5fa3b000447e835,5.282,2.918
5f8b0753d5fa3b000447e835,5.491,2.832
5f8b0753d5fa3b000447e835,5.59,2.517
5f8b0753d5fa3b000447e835,5.782,1.859
5f8b0753d5fa3b000447e835,5.924,1.287
5f8b0753d5fa3b000447e835,6.061,0.715
5f8b0753d5fa3b000447e835,6.17,0.286
5f8b0753d5fa3b000447e835,6.26,0.0
5f7697979503a10004898859,0.04,2.111
5f7697979503a10004898859,0.116,9.685
5f7697979503a10004898859,0.213,25.0
5f7697979503a10004898859,0.286,15.738
5f7697979503a10004898859,0.329,12.472
5f7697979503a10004898859,0.369,10.67
5f7697979503a10004898859,0.42,9.713
5f7697979503a10004898859,0.495,9.178
5f7697979503a10004898859,0.597,8.896
5f7697979503a10004898859,1.711,8.925
5f7697979503a10004898859,1.826,8.699
5f7697979503a10004898859,1.917,8.052
5f7697979503a10004898859,1.975,6.954
5f7697979503a10004898859,2.206,1.07
5f7697979503a10004898859,2.242,0.0
5f76974c9503a10004898858,0.046,0.953
5f76974c9503a10004898858,0.168,5.259
5f76974c9503a10004898858,0.235,10.023
5f76974c9503a10004898858,0.291,15.0
5f76974c9503a10004898858,0.418,9.87
5f76974c9503a10004898858,0.505,7.546
5f76974c9503a10004898858,0.582,6.631
5f76974c9503a10004898858,0.679,6.136
5f76974c9503a10004898858,0.786,5.716
5f76974c9503a10004898858,1.26,5.678
5f76974c9503a10004898858,1.357,5.488
5f76974c9503a10004898858,1.423,4.992
5f76974c9503a10004898858,1.469,4.116
5f76974c9503a10004898858,1.618,1.22
5f76974c9503a10004898858,1.701,0.0
5f7696fb9503a10004898857,0.04,0.229
5f7696fb9503a10004898857,0.12,0.658
5f7696fb9503a10004898857,0.211,1.144
5f7696fb9503a10004898857,0.291,1.831
5f7696fb9503a10004898857,0.385,2.86
5f7696fb9503a10004898857,0.447,3.833
5f7696fb9503a10004898857,0.505,5.001
5f7696fb9503a10004898857,0.567,3.89
5f7696fb9503a10004898857,0.615,3.146
5f7696fb9503a10004898857,0.665,2.66
5f7696fb9503a10004898857,0.735,2.203
5f7696fb9503a10004898857,0.815,2.088
5f7696fb9503a10004898857,0.93,1.98
5f7696fb9503a10004898857,4.589,1.96
5f7696fb9503a10004898857,4.729,1.888
5f7696fb9503a10004898857,4.815,1.602
5f7696fb9503a10004898857,4.873,1.259
5f7696fb9503a10004898857,4.969,0.658
5f7696fb9503a10004898857,5.083,0.0
5f8b05a5d5fa3b000447e825,0.049,0.83
5f8b05a5d5fa3b000447e825,0.096,1.745
5f8b05a5d5fa3b000447e825,0.157,2.946
5f8b05a5d5fa3b000447e825,0.209,3.89
5f8b05a5d5fa3b000447e825,0.273,4.977
5f8b05a5d5fa3b000447e825,0.335,6.093
5f8b05a5d5fa3b000447e825,0.38,7.122
5f8b05a5d5fa3b000447e825,0.411,8.001
5f8b05a5d5fa3b000447e825,0.436,7.065
5f8b05a5d5fa3b000447e825,0.465,6.236
5f8b05a5d5fa3b000447e825,0.516,5.063
5f8b05a5d5fa3b000447e825,0.564,4.462
5f8b05a5d5fa3b000447e825,0.607,4.205
5f8b05a5d5fa3b000447e825,0.669,4.09
5f8b05a5d5fa3b000447e825,0.9,4.09
5f8b05a5d5fa3b000447e825,0.966,3.976
5f8b05a5d5fa3b000447e825,1.025,3.719
5f8b05a5d5fa3b000447e825,1.084,3.261
5f8b05a5d5fa3b000447e825,1.145,2.546
5f8b05a5d5fa3b000447e825,1.212,1.745
5f8b05a5d5fa3b000447e825,1.295,0.772
5f8b05a5d5fa3b000447e825,1.364,0.0
5f76951c9503a10004898852,0.088,0.502
5f76951c9503a10004898852,0.186,4.601
5f76951c9503a10004898852,0.232,7.089
5f76951c9503a10004898852,0.314,10.477
5f76951c9503a10004898852,0.418,6.713
5f76951c9503a10004898852,0.467,3.011
5f76951c9503a10004898852,0.501,0.418
5f76951c9503a10004898852,0.71,0.0
5f4294d20002310000000014,0.005,1.422
5f4294d20002310000000014,0.031,2.695
5f4294d20002310000000014,0.063,5.503
5f4294d20002310000000014,0.117,10.444
5f4294d20002310000000014,0.151,14.374
5f4294d20002310000000014,0.168,16.358
5f4294d20002310000000014,0.174,16.471
5f4294d20002310000000014,0.179,17.594
5f4294d20002310000000014,0.199,18.604
5f4294d20002310000000014,0.211,19.877
5f4294d20002310000000014,0.217,20.401
5f4294d20002310000000014,0.23,20.289
5f4294d20002310000000014,0.234,18.679
5f4294d20002310000000014,0.239,18.23
5f4294d20002310000000014,0.252,13.813
5f4294d20002310000000014,0.258,9.021
5f4294d20002310000000014,0.265,6.588
5f4294d20002310000000014,0.28,4.904
5f4294d20002310000000014,0.296,4.08
5f4294d20002310000000014,0.349,3.481
5f4294d20002310000000014,0.438,2.995
5f4294d20002310000000014,0.504,2.733
5f4294d20002310000000014,0.611,2.807
5f4294d20002310000000014,0.815,2.695
5f4294d20002310000000014,0.97,2.695
5f4294d20002310000000014,1.335,2.695
5f4294d20002310000000014,1.598,2.658
5f4294d20002310000000014,1.794,2.695
5f4294d20002310000000014,1.96,2.733
5f4294d20002310000000014,1.987,1.16
5f4294d20002310000000014,1.992,0.0
5f7d30aa606b5d00041d9abc,0.001,1.960183161
5f7d30aa606b5d00041d9abc,0.013,17.05504955
5f7d30aa606b5d00041d9abc,0.026,24.70023688
5f7d30aa606b5d00041d9abc,0.07,19.16898254
5f7d30aa606b5d00041d9abc,0.116,17.54925097
5f7d30aa606b5d00041d9abc,0.181,16.98988014
